,volatility,sharpe,max_drawdown,risk
AAPL,0.020467635613264968,0.7568683202323133,-0.3336051881496732,medium
MSFT,0.01908561899595355,0.8709120908092932,-0.37148476509406847,medium
GOOG,0.020509578706810066,0.7226838372741308,-0.4460185020058557,medium
NVDA,0.03434051251033216,1.3885733754570089,-0.6633509644008408,medium
ADBE,0.02420034950887354,0.23634973173483106,-0.6002149800846833,medium
CRM,0.0248260788385055,0.40806336927053877,-0.5861723822575304,medium
AMD,0.03346734253522766,0.6600228767003223,-0.6544994295506881,medium
INTC,0.029002499791332147,-0.09872458922368195,-0.7079732157296665,medium
AVGO,0.027495323462068347,1.180354463782744,-0.4829996705847712,medium
ORCL,0.022118361635168587,0.9992762781528209,-0.40364819171932775,medium
META,0.02808486624212063,0.7194118822644104,-0.7673609142905959,medium
NFLX,0.028181809818796824,0.7571406220674086,-0.7594731823071552,medium
DIS,0.021486151322579514,0.0728881890645509,-0.6071516983191755,medium
VZ,0.013567903364601805,0.04316932069940331,-0.41207118055484415,medium
T,0.016655765028857256,0.35678014014520165,-0.39429073964552475,medium
TMUS,0.01751544162333132,0.8474052158104608,-0.31985814591813655,medium
CHTR,0.022178749780512225,0.04898808940562183,-0.6898819775863202,medium
WBD,0.03451085433137405,-0.028753343640148435,-0.9131616367327864,high
PARA,0.03618604266244689,-0.030768487599149037,-0.8951478682144598,high
TSLA,0.04283913802794591,0.9887783964504887,-0.736322174421912,medium
AMZN,0.022694792366126586,0.6162305637771589,-0.5614526325328263,medium
MCD,0.014582130063693927,0.5214341456475623,-0.36559397473168165,medium
NKE,0.022859518621404982,0.04548825226085706,-0.6853426969911147,medium
HD,0.01790746458526573,0.5423257332566475,-0.3799369822905221,medium
LOW,0.02015888737690721,0.5583712288878827,-0.4862921910393512,medium
SBUX,0.021673412421381013,0.2587873147701884,-0.4368290845055677,medium
TJX,0.019185181608994302,0.6021778448940623,-0.4255351489641608,medium
ROST,0.02326930694185958,0.2651307319090511,-0.5141371048061592,medium
MAR,0.024574726313893288,0.48283920500167893,-0.6084434670012215,medium
PG,0.01318608705360471,0.42558757929205054,-0.2377245616441731,medium
KO,0.01302055660951054,0.46180265219,-0.36987523286368296,medium
PEP,0.014069597592654479,0.28750517445446566,-0.3032267649817525,medium
WMT,0.01456608117244047,0.8630467781017095,-0.2573968343253026,medium
